City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Avg Temp,Wind Speed
kibala,0,TD,1553374800,40,9.11,18.35,32,32,32,1.22
salalah,40,OM,1553374200,78,17.01,54.1,26,26,26,4.6
east london,0,ZA,1553376711,91,-33.02,27.91,24.72,24.72,24.72,11.52
victoria,75,BN,1553374800,88,5.28,115.24,27,26.67,26.8,1
cherskiy,20,RU,1553377010,50,68.75,161.3,-22.98,-22.98,-22.98,0.87
codrington,20,AU,1553377216,88,-28.95,153.24,22.78,21,21.71,2.1
talnakh,80,RU,1553377011,76,69.49,88.39,-15.23,-15.23,-15.23,2.42
mount gambier,90,AU,1553375520,93,-37.83,140.78,15,15,15,1.5
ambovombe,12,MG,1553377341,93,-25.18,46.09,24.02,24.02,24.02,7.37
mataura,76,NZ,1553377207,89,-46.19,168.86,16.67,16.67,16.67,0.45
road town,40,VG,1553377032,58,18.42,-64.62,28,25,26.17,4.1
balaghat,0,IN,1553377341,34,21.81,80.19,21.67,21.67,21.67,3.02
upernavik,24,GL,1553376867,100,72.79,-56.15,-21.48,-21.48,-21.48,3.22
saldanha,0,PT,1553377012,47,41.42,-6.55,12.67,12.67,12.67,3.42
avarua,68,CK,1553374800,79,-21.21,-159.78,29,29,29,2.1
airai,32,TL,1553376859,87,-8.93,125.41,21.32,21.32,21.32,0.67
nouadhibou,0,MR,1553374800,82,20.93,-17.03,19,19,19,5.1
ostrovnoy,0,RU,1553377013,86,68.05,39.51,-0.88,-0.88,-0.88,10.67
vestmannaeyjar,8,IS,1553377343,100,63.44,-20.27,3.02,3.02,3.02,10.07
richards bay,44,ZA,1553377013,95,-28.77,32.06,21.47,21.47,21.47,2.92
ribeira grande,20,PT,1553374800,66,38.52,-28.7,13,13,13,6.2
chitungwiza,0,ZW,1553377343,88,-18.01,31.07,16.87,16.87,16.87,4.02
cairns,92,AU,1553377182,88,-16.92,145.77,25,21.67,23.09,3.07
saint-philippe,1,CA,1553376993,40,45.36,-73.48,3.33,-2.22,0.41,9.3
kaitangata,92,NZ,1553376984,82,-46.28,169.85,15.37,15.37,15.37,2.57
manbij,0,SY,1553376000,81,36.53,37.96,10,8.89,9.37,2.47
herat,92,AF,1553377344,77,34.35,62.22,4.87,4.87,4.87,0.97
atuona,80,PF,1553377015,100,-9.8,-139.03,27.97,27.97,27.97,7.47
kavaratti,0,IN,1553376903,100,10.57,72.64,28.52,28.52,28.52,3.67
esil,56,KZ,1553377345,76,51.96,66.41,-5.13,-5.13,-5.13,1.32
khatanga,8,RU,1553376867,28,71.98,102.47,-28.53,-28.53,-28.53,1.37
guerrero negro,0,MX,1553376874,49,27.97,-114.04,22.22,22.22,22.22,4.92
mar del plata,64,AR,1553377015,64,-46.43,-67.52,15.97,15.97,15.97,4.72
arlit,44,NE,1553377345,28,18.74,7.39,24.62,24.62,24.62,3.92
vaini,0,IN,1553377016,89,15.34,74.49,18.42,18.42,18.42,0.47
naze,75,NG,1553371200,88,5.43,7.07,26,26,26,1.5
provideniya,92,RU,1553377346,100,64.42,-173.23,-8.48,-8.48,-8.48,8.07
springbok,0,ZA,1553377346,67,-29.67,17.88,15.32,15.32,15.32,2.07
ponta do sol,88,BR,1553376795,73,-20.63,-46,23.92,23.92,23.92,1.42
kodiak,90,US,1553376814,69,39.95,-94.76,13.89,10,11.82,5.1
inirida,68,CO,1553377347,84,3.87,-67.92,26.77,26.77,26.77,1.12
batagay,32,RU,1553377347,40,67.65,134.64,-25.48,-25.48,-25.48,1.32
vangaindrano,92,MG,1553377347,100,-23.35,47.6,20.67,20.67,20.67,1.92
amlagora,0,IN,1553377347,52,22.83,87.35,18.17,18.17,18.17,1.22
salinopolis,88,BR,1553377347,100,-0.61,-47.36,26.47,26.47,26.47,4.47
mount isa,90,AU,1553374800,83,-20.73,139.49,25,25,25,6.7
kapaa,75,US,1553376814,69,22.08,-159.32,27,22.78,24.44,9.3
birjand,20,IR,1553374800,65,32.86,59.22,8,8,8,5.1
katobu,76,ID,1553377348,100,-4.94,122.53,27.47,27.47,27.47,2.57
vila velha,75,BR,1553376624,83,-3.71,-38.6,27.22,27,27.12,3.6
klaksvik,80,FO,1553376000,75,62.23,-6.59,5,5,5,7.7
tura,0,IN,1553377019,72,25.52,90.21,15.22,15.22,15.22,0.62
maryborough,0,AU,1553377349,90,-25.54,152.7,20.72,20.72,20.72,0.97
vredendal,36,ZA,1553377349,80,-31.68,18.49,15.97,15.97,15.97,1.27
soure,0,PT,1553377051,44,40.06,-8.63,16.67,15,16.1,3.6
bluff,0,AU,1553377350,90,-23.58,149.07,21.02,21.02,21.02,1.32
beloha,12,MG,1553377350,77,-25.17,45.06,24.47,24.47,24.47,7.72
qaanaaq,8,GL,1553377020,93,77.48,-69.36,-29.93,-29.93,-29.93,4.82
namtsy,40,RU,1553374800,60,62.72,129.66,-14,-14,-14,4
saint-joseph,0,FR,1553376949,61,43.56,6.97,17.78,6.11,10.9,2.1
necochea,56,AR,1553377325,50,-38.55,-58.74,24.47,24.47,24.47,9.07
kuala terengganu,75,MY,1553374800,88,5.33,103.14,26,26,26,1.5
clyde river,75,CA,1553374800,75,70.47,-68.59,-27,-27,-27,8.2
nouakchott,0,MR,1553374800,82,18.08,-15.98,19,19,19,6.7
longyearbyen,20,NO,1553374200,61,78.22,15.63,-8,-8,-8,6.2
redcliffe,40,GB,1553376964,75,51.45,-2.59,9.44,5.56,7.7,3.6
tuktoyaktuk,90,CA,1553374800,72,69.44,-133.03,-11,-11,-11,12.3
yulara,0,AU,1553374800,39,-25.24,130.99,26,26,26,3.6
ancud,75,CL,1553374800,71,-41.87,-73.83,14,14,14,1.42
sinjar,20,SY,1553377352,76,35.59,37,12.02,12.02,12.02,3.47
souillac,0,FR,1553376970,47,45.6,-0.6,15,8.33,12.4,1.5
heubach,0,DE,1553377351,61,48.79,9.94,11,3.33,7.05,2.1
port elizabeth,1,US,1553377011,21,39.31,-74.98,11.11,9.44,10.42,8.7
butaritari,76,KI,1553377023,100,3.07,172.79,27.12,27.12,27.12,4.22
passo de camaragibe,20,BR,1553374800,78,-9.24,-35.49,28,28,28,5.1
yellowknife,20,CA,1553377032,46,62.45,-114.38,-12,-14.44,-13.32,5.1
mahebourg,75,MU,1553376840,78,-20.41,57.7,28,26.67,27.22,5.7
lucapa,44,AO,1553377354,92,-8.42,20.74,21.17,21.17,21.17,1.32
hay river,75,CA,1553374800,67,60.82,-115.79,-7,-7,-7,8.2
auras,0,IN,1553374800,63,26.91,80.51,18,18,18,1.5
port alfred,0,ZA,1553376910,94,-33.59,26.89,22.78,20,21.41,2.24
touros,20,BR,1553374800,79,-5.2,-35.46,29,29,29,4.1
praya,76,ID,1553377354,100,-8.71,116.27,26.47,26.47,26.47,3.07
nizhniy kuranakh,80,RU,1553377355,83,58.84,125.49,-8.43,-8.43,-8.43,1.02
kruisfontein,12,ZA,1553377355,79,-34,24.73,19.77,19.77,19.77,3.12
chor,8,PK,1553377355,51,25.52,69.77,21.92,21.92,21.92,1.22
kahului,20,US,1553376828,48,20.89,-156.47,28.89,23.33,25.46,8.7
bathsheba,40,BB,1553374800,65,13.22,-59.52,28,28,28,7.7
brookhaven,1,US,1553377354,34,40.78,-72.92,9.44,6.67,7.95,10.3
chapais,1,CA,1553374800,32,49.78,-74.86,-3,-3,-3,5.7
hithadhoo,88,MV,1553377025,100,-0.6,73.08,30.27,30.27,30.27,3.17
hamilton,75,BM,1553376729,72,32.3,-64.78,19,18.89,18.93,8.2
roald,20,NO,1553377204,86,62.58,6.12,4,-0.57,2.09,10.3
katsuura,20,JP,1553376218,80,33.93,134.5,5,4.44,4.66,5.7
virginia beach,1,US,1553376826,14,36.85,-75.98,16.67,14.44,15.4,6.2
selvik,0,NO,1553377330,48,59.57,10.26,5,1.11,3.36,6.7
conceicao do mato dentro,32,BR,1553377357,77,-19.04,-43.42,22.67,22.67,22.67,1.52
griffith,90,AU,1553375220,88,-34.29,146.06,19,18,18.41,2.1
pitimbu,20,BR,1553374800,74,-7.47,-34.81,29,29,29,4.1
maningrida,32,AU,1553377027,84,-12.05,134.23,28.47,28.47,28.47,6.97
puerto penasco,0,MX,1553376665,81,31.32,-113.53,18.89,18.89,18.89,4.02
chachapoyas,76,PE,1553377358,79,-6.23,-77.87,19.87,19.87,19.87,1.27
hammerfest,12,NO,1553374200,55,70.66,23.68,2,2,2,4.1
pacific grove,1,US,1553377014,62,36.62,-121.92,18.33,13.89,15.99,4.1
petropavlovsk-kamchatskiy,40,RU,1553374800,63,53.05,158.65,-1,-1,-1,3
arraial do cabo,20,BR,1553374800,78,-22.97,-42.02,26,25,25.49,2.6
maniitsoq,68,GL,1553377176,86,65.42,-52.9,-13.18,-13.18,-13.18,8.37
mecca,0,SA,1553377359,61,21.43,39.83,16.52,16.52,16.52,1.17
ozernovskiy,88,RU,1553377359,96,51.5,156.52,-2.83,-2.83,-2.83,0.62
camocim,88,BR,1553377360,90,-2.9,-40.84,25.72,25.72,25.72,2.02
beringovskiy,92,RU,1553376996,91,63.05,179.32,-12.83,-12.83,-12.83,8.97
alpena,1,US,1553377242,35,45.06,-83.43,8.33,5,6.68,5.7
anchorage,75,US,1553377109,61,61.22,-149.89,9,5,7.3,2.22
tiksi,68,RU,1553376839,84,71.64,128.87,-17.78,-17.78,-17.78,1.32
kieta,80,PG,1553377361,99,-6.22,155.63,26.87,26.87,26.87,0.97
waddan,20,LY,1553377361,49,29.16,16.14,14.22,14.22,14.22,2.77
annonay,0,FR,1553376905,53,45.24,4.67,13,4,9.53,1
san policarpo,92,PH,1553377362,94,12.18,125.51,24.72,24.72,24.72,5.67
maxixe,36,MZ,1553377362,86,-23.86,35.35,26.02,26.02,26.02,5.72
raudeberg,88,NO,1553377204,94,61.99,5.14,5,2.78,4.05,7.2
lar,40,IR,1553374800,93,27.66,54.32,13,13,13,0.97
melbourne,32,AU,1553377264,93,-37.81,144.96,18.89,13.89,16.48,2.6
saint george,0,GR,1553374200,81,39.45,22.34,7,7,7,2.1
vigrestad,40,NO,1553377098,86,58.57,5.7,4.44,2.22,3.4,8.7
wyndham,92,GB,1553377357,70,51.61,-3.54,8.89,6,7.73,3.6
benguela,44,AO,1553377031,100,-12.58,13.4,27.12,27.12,27.12,1.07
lakes entrance,76,AU,1553377231,92,-37.88,147.99,17.22,16.11,16.57,1.37
dolores,0,AR,1553377364,56,-36.31,-57.68,22.52,22.52,22.52,5.77
nishihara,20,JP,1553376950,55,35.74,139.53,6.67,-2.22,2.14,4.1
santa rosa,0,AR,1553377367,32,-36.62,-64.29,27.27,27.27,27.27,4.92
dejen,24,ET,1553377368,54,10.16,38.15,18.67,18.67,18.67,0.52
markova,90,RU,1553376982,92,52.21,104.21,-1,-1.11,-1.07,5
verkhnyaya sinyachikha,0,RU,1553377368,66,57.98,61.67,-8.73,-8.73,-8.73,1.72
coihaique,20,CL,1553374800,51,-45.58,-72.07,16,15,15.44,4.1
sulangan,80,PH,1553377369,100,11.14,123.72,26.37,26.37,26.37,7.97
portland,75,US,1553376765,58,45.52,-122.67,16.11,11.67,14.16,2.6
greenfield,1,US,1553377348,44,42.59,-72.6,7,-1.11,2.85,8.7
petropavlovka,0,RU,1553377369,70,50.61,105.32,-8.78,-8.78,-8.78,0.72
broome,0,GB,1553377027,86,52.47,1.45,7.22,2.78,5.07,0.5
paraiso,5,MX,1553377215,7,24.01,-104.61,23.89,23,23.44,4.6
antofagasta,0,CL,1553374800,60,-23.65,-70.4,21,21,21,5.1
alice springs,36,AU,1553374800,51,-23.7,133.88,28,28,28,4.6
porto novo,20,BR,1553374800,65,-23.68,-45.44,26,26,26,4.6
severo-kurilsk,80,RU,1553377371,99,50.68,156.12,-1.13,-1.13,-1.13,7.37
grand gaube,75,MU,1553377140,78,-20.01,57.66,28,26.67,27.38,5.7
zarubino,0,RU,1553377371,100,42.65,131.06,-5.98,-5.98,-5.98,2.27
buchanan,20,LR,1553374800,83,5.88,-10.05,26,26,26,3.37
iowa city,1,US,1553377302,37,41.66,-91.53,13.89,11.67,12.51,5.7
dingle,0,PH,1553376878,73,11,122.67,24.47,24.47,24.47,5.97
thompson,20,CA,1553374800,44,55.74,-97.86,-8,-8,-8,8.2
meulaboh,32,ID,1553377372,100,4.14,96.13,25.47,25.47,25.47,1.52
loikaw,0,MM,1553377373,80,19.67,97.21,16.07,16.07,16.07,1.07
bethel,40,US,1553374560,65,60.79,-161.76,7,4,6.23,5.1
samarai,92,PG,1553377374,100,-10.62,150.67,25.12,25.12,25.12,4.52
maputo,40,MZ,1553374800,78,-25.97,32.57,26,26,26,2.1
dharmanagar,0,IN,1553377374,95,24.37,92.17,17.27,17.27,17.27,2.22
utete,8,TZ,1553377374,94,-7.99,38.76,24.72,24.72,24.72,1.42
krasnaya gora,0,RU,1553374800,74,53.01,31.6,2,2,2,3
bardsir,20,IR,1553374800,42,29.93,56.57,9,9,9,2.1
slave lake,1,CA,1553374800,34,55.28,-114.77,12,12,12,5.7
brus laguna,8,HN,1553377375,40,15.75,-84.48,29.12,29.12,29.12,2.52
san patricio,0,PY,1553377375,68,-26.98,-56.83,25.72,25.72,25.72,1.07
castro,75,CL,1553374800,71,-42.48,-73.76,14,14,14,1.22
marsh harbour,0,BS,1553377376,100,26.54,-77.06,23.47,23.47,23.47,3.47
kerrobert,75,CA,1553376574,58,51.92,-109.14,13,12.78,12.88,8.2
yaan,56,NG,1553377377,77,7.38,8.57,26.37,26.37,26.37,5.42
isangel,92,VU,1553377377,100,-19.55,169.27,25.67,25.67,25.67,7.17
phalombe,24,MW,1553377377,93,-15.81,35.65,19.52,19.52,19.52,1.57
hambantota,20,LK,1553375400,100,6.12,81.12,24,24,24,1
camacha,40,PT,1553374800,67,33.08,-16.33,17,17,17,3.1
deep river,1,CA,1553377203,29,46.1,-77.49,4.44,3,3.82,3.6
beian,75,NO,1553377144,74,63.66,9.57,3,0.56,2.09,15.9
deputatskiy,0,RU,1553377379,48,69.3,139.9,-35.03,-35.03,-35.03,1.22
chara,0,GR,1553374200,81,39.42,22.43,7,7,7,2.1
pevek,0,RU,1553377379,80,69.7,170.27,-28.08,-28.08,-28.08,1.17
lata,12,IN,1553377379,58,30.78,78.62,5.97,5.97,5.97,1.17
sibolga,80,ID,1553377201,100,1.74,98.78,20.52,20.52,20.52,0.32
nagtipunan,32,PH,1553377380,95,16.22,121.6,18.22,18.22,18.22,1.32
saint-michel-des-saints,0,CA,1553377380,46,46.68,-73.92,-0.28,-0.28,-0.28,4.97
vardo,1,US,1553377239,23,39.62,-77.74,11.11,8.33,10,7.2
vila franca do campo,40,PT,1553377373,81,37.72,-25.43,12.78,12,12.39,8.2
norman wells,75,CA,1553374800,63,65.28,-126.83,-1,-1,-1,8.7
saint anthony,90,US,1553377250,70,43.97,-111.68,7.78,3,6.4,1.5
burnie,64,AU,1553377323,93,-41.05,145.91,17.22,12.78,15,3.97
paamiut,8,GL,1553377382,100,61.99,-49.67,-6.78,-6.78,-6.78,5.67
dakar,20,SN,1553374800,77,14.69,-17.45,20,19,19.46,6.2
sur,24,OM,1553377382,93,22.57,59.53,22.77,22.77,22.77,1.72
lagoa,0,PT,1553377329,67,37.14,-8.45,16.11,12.22,14.83,3.1
bonavista,92,CA,1553376607,89,48.65,-53.11,1.67,1.67,1.67,0.45
mayor pablo lagerenza,32,PY,1553377383,65,-19.93,-60.77,30.37,30.37,30.37,2.27
port lincoln,64,AU,1553377383,100,-34.72,135.86,15.72,15.72,15.72,2.22
maragogi,32,BR,1553377309,89,-9.01,-35.22,26.72,26.72,26.72,3.87
abha,0,SA,1553374800,39,18.22,42.5,17,17,17,0.52
dok kham tai,36,TH,1553377384,73,19.16,99.99,20.32,20.32,20.32,1.12
puerto quijarro,40,BO,1553374800,55,-19,-57.72,32,31,31.51,3.1
tiznit,80,MA,1553377155,100,29.7,-9.73,14.97,14.97,14.97,3.07
oxbow,1,CA,1553374800,62,49.23,-102.17,14,14,14,1
killybegs,36,IE,1553377325,85,54.63,-8.45,2.78,2.78,2.78,0.89
sladkovo,44,RU,1553377385,66,55.53,70.34,-9.73,-9.73,-9.73,1.52
hailar,64,CN,1553377385,75,49.2,119.7,-5.28,-5.28,-5.28,5.22
lorengau,88,PG,1553377385,100,-2.02,147.27,27.82,27.82,27.82,5.47
marzuq,0,YE,1553377386,89,14.4,46.47,12.02,12.02,12.02,1.12
port hedland,75,AU,1553376120,100,-20.31,118.58,26,26,26,16.5
fairbanks,20,US,1553377223,42,64.84,-147.72,10,6.67,8.23,3.1
te anau,88,NZ,1553377386,76,-45.41,167.72,13.87,13.87,13.87,1.67
belle fourche,90,US,1553377277,76,44.67,-103.85,10,5,7.91,2.1
hundested,0,DK,1553377332,77,55.97,11.85,6.11,3.33,4.91,4.6
atar,0,MR,1553377275,41,20.52,-13.05,20.77,20.77,20.77,2.52
yumen,0,CN,1553377387,58,40.29,97.04,-5.18,-5.18,-5.18,3.12
ussel,0,FR,1553376914,58,45.55,2.31,11.11,11.11,11.11,2.24
muravlenko,64,RU,1553377387,93,63.79,74.5,-3.63,-3.63,-3.63,2.87
wattegama,0,LK,1553377388,91,7.35,80.68,18.42,18.42,18.42,1.12
yugorsk,0,RU,1553377388,74,61.32,63.33,-8.28,-8.28,-8.28,1.17
carnarvon,92,ZA,1553377388,22,-30.97,22.13,20.97,20.97,20.97,1.17
lodja,36,CD,1553377388,95,-3.52,23.6,21.62,21.62,21.62,1.22
constitucion,5,MX,1553377215,7,23.99,-104.67,23.89,23,23.43,4.6
arboletes,40,CO,1553374800,55,8.85,-76.43,33,33,33,4.6
iqaluit,90,CA,1553377368,77,63.75,-68.52,-14,-14.44,-14.23,10.8
wencheng,20,CN,1553377389,96,27.79,120.09,4.12,4.12,4.12,0.97
lompoc,75,US,1553377379,77,34.64,-120.46,18.89,15,16.72,6.2
tingi,44,TZ,1553377390,100,-11.3,35.03,25.37,25.37,25.37,1.97
samarinda,44,ID,1553377390,97,-0.5,117.14,24.82,24.82,24.82,1.22
aksu,75,KZ,1553374800,100,52.04,76.93,-1,-1,-1,2
danielskuil,44,ZA,1553377390,44,-28.19,23.54,20.72,20.72,20.72,3.47
banda aceh,0,ID,1553377391,97,5.56,95.32,23.52,23.52,23.52,0.47
quelimane,75,MZ,1553374800,88,-17.88,36.89,26,26,26,3.1
nikolskoye,90,RU,1553377235,93,59.7,30.79,4,3.33,3.63,3
qaqortoq,12,GL,1553374200,51,60.72,-46.03,-11,-11,-11,3.1
yar-sale,8,RU,1553377392,76,66.83,70.83,-11.38,-11.38,-11.38,1.27
okhotsk,80,RU,1553377392,85,59.36,143.24,-5.88,-5.88,-5.88,3.22
payakumbuh,44,ID,1553377392,89,-0.23,100.63,21.92,21.92,21.92,0.97
sorong,68,ID,1553377392,100,-0.86,131.25,26.47,26.47,26.47,2.77
astaneh-ye ashrafiyeh,88,IR,1553374800,100,37.26,49.94,10,10,10,0.72
cervo,76,BR,1553377393,78,-22.19,-46.24,21.52,21.52,21.52,0.97
jamundi,40,CO,1553374800,51,3.26,-76.53,30,30,30,7.7
erzin,0,TR,1553376000,76,36.95,36.2,14,10,12.03,6.7
umm kaddadah,44,SD,1553377393,17,13.6,26.69,24.37,24.37,24.37,3.12
caibarien,75,CU,1553374320,60,22.52,-79.47,24,24,24,6.2
walvis bay,0,NA,1553374927,82,-22.95,14.51,16.67,16,16.43,2.1
aklavik,40,CA,1553374800,62,68.22,-135.01,-6,-6,-6,10.3
mayo,40,CA,1553374800,40,63.59,-135.9,12,12,12,2.6
cockburn town,0,TC,1553377358,97,21.46,-71.14,26.62,26.62,26.62,5.72
avera,1,US,1553377392,31,33.19,-82.53,23.33,18.89,21.04,3.1
bethanien,0,NA,1553377395,18,-26.5,17.16,24.52,24.52,24.52,2.57
stokmarknes,92,NO,1553376711,94,68.56,14.91,3.89,1.67,2.84,1.34
tari,0,NG,1553377395,21,12.41,4.49,27.97,27.97,27.97,4.12
mao,40,DO,1553377250,54,19.55,-71.08,29,26.67,28.1,7.7
tocopilla,0,CL,1553377396,85,-22.09,-70.2,20.27,20.27,20.27,2.32
cabo san lucas,5,MX,1553377249,44,22.89,-109.91,27.22,22.22,25.05,4.1
hami,0,CN,1553377396,42,42.84,93.51,0.67,0.67,0.67,3.62
baruun-urt,12,MN,1553377397,57,46.68,113.28,-5.63,-5.63,-5.63,4.12
paris,20,FR,1553377025,76,48.86,2.35,10.56,6,8.59,1.5
taos,1,US,1553377098,39,36.41,-105.57,10,5,7.88,8.7
port blair,8,IN,1553377397,100,11.67,92.75,27.97,27.97,27.97,3.87
ixtapa,5,MX,1553377211,61,20.71,-105.21,28,26.67,27.34,6.2
tual,20,ID,1553377398,100,-5.67,132.75,26.52,26.52,26.52,6.87
roma,0,IT,1553377109,66,41.89,12.48,14.44,9.44,11.66,2.1
coquimbo,20,CL,1553374800,77,-29.95,-71.34,16,16,16,5.1
chuy,0,UY,1553377398,79,-33.69,-53.46,22.32,22.32,22.32,2.97
tyumen,0,RU,1553374800,64,57.15,65.54,0,0,0,3
taoudenni,36,ML,1553377399,15,22.68,-3.98,24.62,24.62,24.62,4.57
aleksandrov gay,76,RU,1553377399,87,50.14,48.57,1.32,1.32,1.32,1.32
lebu,0,ET,1553377399,60,8.96,38.73,12.12,12.12,12.12,2.77
guerrero,40,AR,1553374800,73,-24.19,-65.45,21,21,21,3.1
san cristobal,75,EC,1553376619,77,-0.39,-78.55,18,13.89,16.22,4.1
pangnirtung,80,CA,1553377400,73,66.15,-65.72,-17.88,-17.88,-17.88,11.32
ouargaye,32,BF,1553377400,19,11.5,0.06,29.77,29.77,29.77,3.32
morgan city,1,US,1553377395,40,29.7,-91.21,25,20.56,22.92,5.7
barranca,20,PE,1553377401,94,-10.75,-77.76,21.27,21.27,21.27,3.37
canala,88,NC,1553374800,74,-21.52,165.96,26,26,26,4.02
emba,0,CY,1553376695,76,34.81,32.42,15,9.44,12.23,2.6
deolali,0,IN,1553377402,63,19.94,73.86,16.37,16.37,16.37,1.07
larsnes,20,NO,1553377204,92,62.2,5.58,4.44,-0.57,2.14,10.3
leshukonskoye,88,RU,1553377402,79,64.9,45.76,0.37,0.37,0.37,5.57
karratha,80,AU,1553377403,60,-20.74,116.85,28.12,28.12,28.12,16.52
pauini,56,BR,1553377403,93,-7.71,-67,24.77,24.77,24.77,2.22
anaconda,1,US,1553376729,48,46.13,-112.94,11.11,6.67,8.33,4.1
moose factory,20,CA,1553374800,44,51.26,-80.61,5,5,5,8.7
miri,12,NG,1553377404,33,10.31,9.75,25.27,25.27,25.27,2.07
kalmunai,0,LK,1553377404,96,7.42,81.82,22.27,22.27,22.27,1.07
geraldton,5,CA,1553374800,17,49.72,-86.95,11,11,11,7.7
noyabrsk,88,RU,1553377404,86,63.2,75.45,-5.38,-5.38,-5.38,2.07
urusha,12,RU,1553377404,79,54.05,122.9,-12.78,-12.78,-12.78,1.22
lethem,0,GY,1553377405,31,3.38,-59.8,35.67,35.67,35.67,5.72
aljezur,0,PT,1553377120,66,37.31,-8.8,16.11,12.22,14.43,5.17
panguna,68,PG,1553377405,91,-6.32,155.48,24.47,24.47,24.47,1.37
nadym,76,RU,1553377406,93,65.53,72.51,-3.53,-3.53,-3.53,2.87
sao felix do xingu,68,BR,1553377406,83,-6.64,-51.99,27.22,27.22,27.22,1.17
valparaiso,1,US,1553377091,42,41.47,-87.06,12.78,8,10.68,2.27
keti bandar,36,PK,1553377406,94,24.14,67.45,24.27,24.27,24.27,7.52
nador,24,MA,1553374800,77,35.17,-2.93,16,14,14.98,6.7
hagerstown,1,US,1553377326,23,39.64,-77.72,11.11,8.33,9.95,7.2
matagami,44,NG,1553377407,75,9.67,8.4,22.72,22.72,22.72,1.32
pangai,75,TO,1553374800,61,-19.8,-174.35,27,27,27,3.1
silopi,68,IQ,1553377407,97,37.25,42.47,6.97,6.97,6.97,1.72
lavrentiya,92,RU,1553377408,100,65.58,-170.99,-9.28,-9.28,-9.28,5.72
guane,8,CU,1553377287,41,22.2,-84.09,28.22,28.22,28.22,1.82
klyuchi,0,RU,1553377408,75,52.25,79.17,-4.88,-4.88,-4.88,2.67
omsukchan,0,RU,1553377409,49,62.53,155.8,-23.88,-23.88,-23.88,1.12
champerico,20,MX,1553374140,26,16.38,-93.6,34,34,34,3.1
flinders,68,AU,1553377343,78,-34.58,150.85,22.78,20.56,21.77,3.1
mehamn,0,NO,1553377409,70,71.03,27.85,-3.78,-3.78,-3.78,3.47
